Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Release Code,Release,Unit,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
"5,""'016"",""American Samoa"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",,,,,,,,"
"5,""'016"",""American Samoa"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",,,,,,,,"
"6,""'020"",""Andorra"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""12U2024"",""December 2024 (Update)"",""%"",,,,,,,,"
"6,""'020"",""Andorra"",""7006"",""Number of people unable to afford a healthy diet (NUA), million"",""6132"",""Value"",""12U2024"",""December 2024 (Update)"",""million No"",,,,,,,,"
"7,""'024"",""Angola"",""70041"",""Cost of a healthy diet (CoHD), LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",""368.84"",""427.54"",""498.12"",""633.06"",""836.22"",""1041.36"",""1178.31"",""1554.61"""
"7,""'024"",""Angola"",""70040"",""Cost of a healthy diet (CoHD), PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",""3.18"",""3.27"",""3.43"",""3.7"",""4.11"",""4.55"",""4.72"",""5"""
"7,""'024"",""Angola"",""70071"",""Cost of starchy staples, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""233.78"",,,"
"7,""'024"",""Angola"",""70070"",""Cost of starchy staples, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""1.15"",,,"
"7,""'024"",""Angola"",""70081"",""Cost of animal source foods, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""234.41"",,,"
"7,""'024"",""Angola"",""70080"",""Cost of animal source foods, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""1.15"",,,"
"7,""'024"",""Angola"",""70091"",""Cost of legumes, nuts and seeds, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""84.72"",,,"
"7,""'024"",""Angola"",""70090"",""Cost of legumes, nuts and seeds, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.42"",,,"
"7,""'024"",""Angola"",""70101"",""Cost of vegetables, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""89.17"",,,"
"7,""'024"",""Angola"",""70100"",""Cost of vegetables, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.44"",,,"
"7,""'024"",""Angola"",""70111"",""Cost of fruits, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""152.35"",,,"
"7,""'024"",""Angola"",""70110"",""Cost of fruits, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.75"",,,"
"7,""'024"",""Angola"",""70121"",""Cost of oils and fats, LCU per person per day"",""6205"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""LCU/cap/d"",,,,,""41.79"",,,"
"7,""'024"",""Angola"",""70120"",""Cost of oils and fats, PPP dollar per person per day"",""6226"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""Int$ (PPP) per person per day"",,,,,""0.21"",,,"
"7,""'024"",""Angola"",""7005"",""Prevalence of unaffordability (PUA), percent"",""6121"",""Value"",""7S2025"",""July 2025 (SOFI report)"",""%"",""60.7"",""63.2"",""64.2"",""68.1"",""69.8"",""70.5"",""70.8"",""71.4"""
